"","HUC","Stressor","simulation","dose","sys.cap"
"1","0401010102","StressorA","1",0.001,1
"2","0401010102","StressorA","10",0.001,1
"3","0401010102","StressorA","100",0.001,1
"4","0401010102","StressorA","11",0.001,1
"5","0401010102","StressorA","12",0.001,1
"6","0401010102","StressorA","13",0.001,1
"7","0401010102","StressorA","14",0.001,1
"8","0401010102","StressorA","15",0.001,1
"9","0401010102","StressorA","16",0.001,1
"10","0401010102","StressorA","17",0.001,1
"11","0401010102","StressorA","18",0.001,1
"12","0401010102","StressorA","19",0.001,1
"13","0401010102","StressorA","2",0.001,1
"14","0401010102","StressorA","20",0.001,1
"15","0401010102","StressorA","21",0.001,1
"16","0401010102","StressorA","22",0.001,1
"17","0401010102","StressorA","23",0.001,1
"18","0401010102","StressorA","24",0.001,1
"19","0401010102","StressorA","25",0.001,1
"20","0401010102","StressorA","26",0.001,1
"21","0401010102","StressorA","27",0.001,1
"22","0401010102","StressorA","28",0.001,1
"23","0401010102","StressorA","29",0.001,1
"24","0401010102","StressorA","3",0.001,1
"25","0401010102","StressorA","30",0.001,1
"26","0401010102","StressorA","31",0.001,1
"27","0401010102","StressorA","32",0.001,1
"28","0401010102","StressorA","33",0.001,1
"29","0401010102","StressorA","34",0.001,1
"30","0401010102","StressorA","35",0.001,1
"31","0401010102","StressorA","36",0.001,1
"32","0401010102","StressorA","37",0.001,1
"33","0401010102","StressorA","38",0.001,1
"34","0401010102","StressorA","39",0.001,1
"35","0401010102","StressorA","4",0.001,1
"36","0401010102","StressorA","40",0.001,1
"37","0401010102","StressorA","41",0.001,1
"38","0401010102","StressorA","42",0.001,1
"39","0401010102","StressorA","43",0.001,1
"40","0401010102","StressorA","44",0.001,1
"41","0401010102","StressorA","45",0.001,1
"42","0401010102","StressorA","46",0.001,1
"43","0401010102","StressorA","47",0.001,1
"44","0401010102","StressorA","48",0.001,1
"45","0401010102","StressorA","49",0.001,1
"46","0401010102","StressorA","5",0.001,1
"47","0401010102","StressorA","50",0.001,1
"48","0401010102","StressorA","51",0.001,1
"49","0401010102","StressorA","52",0.001,1
"50","0401010102","StressorA","53",0.001,1
"51","0401010102","StressorA","54",0.001,1
"52","0401010102","StressorA","55",0.001,1
"53","0401010102","StressorA","56",0.001,1
"54","0401010102","StressorA","57",0.001,1
"55","0401010102","StressorA","58",0.001,1
"56","0401010102","StressorA","59",0.001,1
"57","0401010102","StressorA","6",0.001,1
"58","0401010102","StressorA","60",0.001,1
"59","0401010102","StressorA","61",0.001,1
"60","0401010102","StressorA","62",0.001,1
"61","0401010102","StressorA","63",0.001,1
"62","0401010102","StressorA","64",0.001,1
"63","0401010102","StressorA","65",0.001,1
"64","0401010102","StressorA","66",0.001,1
"65","0401010102","StressorA","67",0.001,1
"66","0401010102","StressorA","68",0.001,1
"67","0401010102","StressorA","69",0.001,1
"68","0401010102","StressorA","7",0.001,1
"69","0401010102","StressorA","70",0.001,1
"70","0401010102","StressorA","71",0.001,1
"71","0401010102","StressorA","72",0.001,1
"72","0401010102","StressorA","73",0.001,1
"73","0401010102","StressorA","74",0.001,1
"74","0401010102","StressorA","75",0.001,1
"75","0401010102","StressorA","76",0.001,1
"76","0401010102","StressorA","77",0.001,1
"77","0401010102","StressorA","78",0.001,1
"78","0401010102","StressorA","79",0.001,1
"79","0401010102","StressorA","8",0.001,1
"80","0401010102","StressorA","80",0.001,1
"81","0401010102","StressorA","81",0.001,1
"82","0401010102","StressorA","82",0.001,1
"83","0401010102","StressorA","83",0.001,1
"84","0401010102","StressorA","84",0.001,1
"85","0401010102","StressorA","85",0.001,1
"86","0401010102","StressorA","86",0.001,1
"87","0401010102","StressorA","87",0.001,1
"88","0401010102","StressorA","88",0.001,1
"89","0401010102","StressorA","89",0.001,1
"90","0401010102","StressorA","9",0.001,1
"91","0401010102","StressorA","90",0.001,1
"92","0401010102","StressorA","91",0.001,1
"93","0401010102","StressorA","92",0.001,1
"94","0401010102","StressorA","93",0.001,1
"95","0401010102","StressorA","94",0.001,1
"96","0401010102","StressorA","95",0.001,1
"97","0401010102","StressorA","96",0.001,1
"98","0401010102","StressorA","97",0.001,1
"99","0401010102","StressorA","98",0.001,1
"100","0401010102","StressorA","99",0.001,1
"101","0401010102","StressorB","1",0,1
"102","0401010102","StressorB","10",0,1
"103","0401010102","StressorB","100",0,1
"104","0401010102","StressorB","11",0,1
"105","0401010102","StressorB","12",0,1
"106","0401010102","StressorB","13",0,1
"107","0401010102","StressorB","14",0,1
"108","0401010102","StressorB","15",0,1
"109","0401010102","StressorB","16",0,1
"110","0401010102","StressorB","17",0,1
"111","0401010102","StressorB","18",0,1
"112","0401010102","StressorB","19",0,1
"113","0401010102","StressorB","2",0,1
"114","0401010102","StressorB","20",0,1
"115","0401010102","StressorB","21",0,1
